round,date,team_home,team_away,full_text
Round 11,06.10.2024,Slask Wroclaw,Cracovia,06.10.2024 | Slask Wroclaw | Cracovia | 2 | 4
Round 11,05.10.2024,Lech Poznan,Motor Lublin,05.10.2024 | Lech Poznan | Motor Lublin | 1 | 2
Round 11,05.10.2024,Gornik Zabrze,Zaglebie,05.10.2024 | Gornik Zabrze | Zaglebie | 0 | 1
Round 11,05.10.2024,Radomiak Radom,Rakow,05.10.2024 | Radomiak Radom | Rakow | 0 | 2
Round 11,05.10.2024,Stal Mielec,Lechia Gdansk,05.10.2024 | Stal Mielec | Lechia Gdansk | 2 | 1
Round 11,04.10.2024,Widzew Lodz,Korona Kielce,04.10.2024 | Widzew Lodz | Korona Kielce | 0 | 1
Round 11,04.10.2024,Puszcza,GKS Katowice,04.10.2024 | Puszcza | GKS Katowice | 0 | 6
Round 10,30.09.2024,Cracovia,Stal Mielec,30.09.2024 | Cracovia | Stal Mielec | 1 | 1
Round 10,29.09.2024,Piast Gliwice,Jagiellonia,29.09.2024 | Piast Gliwice | Jagiellonia | 0 | 1
Round 10,29.09.2024,Korona Kielce,Lech Poznan,29.09.2024 | Korona Kielce | Lech Poznan | 2 | 3
Round 10,29.09.2024,Zaglebie,Radomiak Radom,29.09.2024 | Zaglebie | Radomiak Radom | 1 | 0
Round 10,28.09.2024,Legia,Gornik Zabrze,28.09.2024 | Legia | Gornik Zabrze | 1 | 1
Round 10,28.09.2024,Motor Lublin,Slask Wroclaw,28.09.2024 | Motor Lublin | Slask Wroclaw | 2 | 1
Round 10,28.09.2024,Rakow,Puszcza,28.09.2024 | Rakow | Puszcza | 2 | 0
Round 10,27.09.2024,Lechia Gdansk,Widzew Lodz,27.09.2024 | Lechia Gdansk | Widzew Lodz | 1 | 1
Round 10,27.09.2024,GKS Katowice,Pogon Szczecin,27.09.2024 | GKS Katowice | Pogon Szczecin | 3 | 1
Round 4,25.09.2024,Motor Lublin,Jagiellonia,25.09.2024 | Motor Lublin | Jagiellonia | 0 | 2
Round 9,22.09.2024,Lech Poznan,Slask Wroclaw,22.09.2024 | Lech Poznan | Slask Wroclaw | 1 | 0
Round 9,22.09.2024,Rakow,Zaglebie,22.09.2024 | Rakow | Zaglebie | 5 | 1
Round 9,22.09.2024,Stal Mielec,Motor Lublin,22.09.2024 | Stal Mielec | Motor Lublin | 1 | 0
Round 9,21.09.2024,Gornik Zabrze,GKS Katowice,21.09.2024 | Gornik Zabrze | GKS Katowice | 3 | 0
Round 9,21.09.2024,Widzew Lodz,Piast Gliwice,21.09.2024 | Widzew Lodz | Piast Gliwice | 1 | 0
Round 9,21.09.2024,Jagiellonia,Lechia Gdansk,21.09.2024 | Jagiellonia | Lechia Gdansk | 3 | 2
Round 9,21.09.2024,Puszcza,Cracovia,21.09.2024 | Puszcza | Cracovia | 1 | 2
Round 9,20.09.2024,Pogon Szczecin,Legia,20.09.2024 | Pogon Szczecin | Legia | 1 | 0
