round,date,team_home,team_away,full_text
4,27.04.2025,Kristiansund,Valerenga,27.04.2025 | Kristiansund | Valerenga | 0 | 2
4,27.04.2025,Sandefjord,HamKam,27.04.2025 | Sandefjord | HamKam | 2 | 0
4,27.04.2025,Rosenborg,Molde,27.04.2025 | Rosenborg | Molde | 0 | 0
3,21.04.2025,Molde,Bodo/Glimt,21.04.2025 | Molde | Bodo/Glimt | 2 | 2
3,21.04.2025,Bryne,Haugesund,21.04.2025 | Bryne | Haugesund | 3 | 1
3,21.04.2025,Fredrikstad,Sandefjord,21.04.2025 | Fredrikstad | Sandefjord | 3 | 1
3,21.04.2025,HamKam,Viking,21.04.2025 | HamKam | Viking | 2 | 5
3,21.04.2025,KFUM Oslo,Sarpsborg 08,21.04.2025 | KFUM Oslo | Sarpsborg 08 | 1 | 3
3,21.04.2025,Stromsgodset,Brann,21.04.2025 | Stromsgodset | Brann | 1 | 2
3,21.04.2025,Valerenga,Rosenborg,21.04.2025 | Valerenga | Rosenborg | 0 | 2
3,20.04.2025,Tromso,Kristiansund,20.04.2025 | Tromso | Kristiansund | 2 | 3
17,10.04.2025,Brann,Stromsgodset,10.04.2025 | Brann | Stromsgodset | 2 | 1
16,10.04.2025,Viking,Kristiansund,10.04.2025 | Viking | Kristiansund | 3 | 1
17,09.04.2025,Fredrikstad,Valerenga,09.04.2025 | Fredrikstad | Valerenga | 2 | 0
2,06.04.2025,Viking,KFUM Oslo,06.04.2025 | Viking | KFUM Oslo | 3 | 1
2,06.04.2025,Haugesund,Stromsgodset,06.04.2025 | Haugesund | Stromsgodset | 0 | 5
2,06.04.2025,Kristiansund,Bryne,06.04.2025 | Kristiansund | Bryne | 2 | 1
2,06.04.2025,Sandefjord,Molde,06.04.2025 | Sandefjord | Molde | 3 | 0
2,06.04.2025,Sarpsborg 08,Valerenga,06.04.2025 | Sarpsborg 08 | Valerenga | 1 | 1
2,06.04.2025,Brann,Tromso,06.04.2025 | Brann | Tromso | 3 | 1
2,05.04.2025,Rosenborg,Fredrikstad,05.04.2025 | Rosenborg | Fredrikstad | 1 | 0
2,05.04.2025,Bodo/Glimt,HamKam,05.04.2025 | Bodo/Glimt | HamKam | 3 | 0
1,30.03.2025,Bryne,Bodo/Glimt,30.03.2025 | Bryne | Bodo/Glimt | 0 | 1
1,30.03.2025,HamKam,Kristiansund,30.03.2025 | HamKam | Kristiansund | 2 | 1
1,30.03.2025,KFUM Oslo,Sandefjord,30.03.2025 | KFUM Oslo | Sandefjord | 3 | 1
1,30.03.2025,Molde,Sarpsborg 08,30.03.2025 | Molde | Sarpsborg 08 | 0 | 2
1,30.03.2025,Tromso,Haugesund,30.03.2025 | Tromso | Haugesund | 1 | 0
1,30.03.2025,Valerenga,Viking,30.03.2025 | Valerenga | Viking | 3 | 1
1,29.03.2025,Fredrikstad,Brann,29.03.2025 | Fredrikstad | Brann | 3 | 0
1,29.03.2025,Stromsgodset,Rosenborg,29.03.2025 | Stromsgodset | Rosenborg | 1 | 2
